SchemaVersion,LoggerVersion,SessionID,UserID,TimeStamp,Minute,Second,UserX,UserY,UserZ,SceneRadius,ObjX,ObjY,ObjZ,ObjRadius,ObjDeltaX,ObjDeltaY,ObjDeltaZ,ObjDeltaRadius,VertexDelta,NgonDelta,TriDelta,NormalDelta,ObjModeState,EditModeState,ModeChanged,UV,ObjectDelta,ModifierDelta,CtrlV,ShiftD,AltD,Merge,Occlusion
1,,,b3cef250,1777534734.6,0,1.81,8.69,-3.89,4.74,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534735.1,0,2.31,8.63,-4.1,4.67,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534735.35,0,2.56,8.14,-4.99,4.86,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534735.61,0,2.82,7.95,-5.08,5.13,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534735.87,0,3.08,14.29,-7.89,8.58,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534736.13,0,3.33,17.3,-9.22,10.22,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534736.38,0,3.58,14.29,-7.89,8.58,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534740.17,0,7.38,14.29,-7.89,8.58,1.54,0.0,0.0,0.0,1.54,0.0,0.0,0.0,-0.18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534740.45,0,7.66,14.29,-7.89,8.58,1.45,0.0,0.0,0.0,1.45,0.0,0.0,0.0,-0.09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534740.72,0,7.93,14.29,-7.89,8.58,1.43,0.0,0.0,0.0,1.43,0.0,0.0,0.0,-0.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534741.48,0,8.69,14.29,-7.89,8.58,1.42,0.0,0.0,0.0,1.42,0.0,0.0,0.0,-0.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534741.99,0,9.19,7.95,-5.08,5.13,1.42,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534742.25,0,9.46,6.49,-4.44,4.34,1.42,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534742.75,0,9.96,6.55,-4.35,4.3,1.42,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534743.01,0,10.22,7.42,-2.77,3.99,1.42,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534743.27,0,10.48,7.51,-2.6,3.96,1.42,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534745.32,0,12.53,7.51,-2.6,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8,0,0,0,1,0,0,0,-1,0,0,0,0,0,0
1,,,b3cef250,1777534756.48,0,23.69,7.51,-2.6,3.96,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,,,b3cef250,1777534757.77,0,24.97,7.51,-2.6,3.96,1.59,0.0,0.0,0.0,1.59,0.0,0.0,0.0,-0.13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534758.04,0,25.24,7.51,-2.6,3.96,1.41,0.0,0.0,0.0,1.41,0.0,0.0,0.0,-0.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534758.55,0,25.76,7.51,-2.6,3.96,1.42,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534759.55,0,26.76,7.51,-2.63,3.94,1.42,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534759.81,0,27.02,7.36,-3.45,3.56,1.42,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534760.07,0,27.28,7.13,-4.09,3.46,1.42,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534761.84,0,29.05,7.13,-4.09,3.46,1.88,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534762.1,0,29.31,7.13,-4.09,3.46,2.02,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534762.36,0,29.57,7.13,-4.09,3.46,2.18,0.0,0.0,0.0,2.18,0.0,0.0,0.0,0.16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534762.62,0,29.83,7.13,-4.09,3.46,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534763.87,0,31.08,6.51,-4.39,4.22,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534764.13,0,31.34,4.83,-5.08,5.54,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534764.39,0,31.6,7.09,1.04,4.27,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534764.66,0,31.87,6.85,3.56,2.67,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534764.91,0,32.11,6.47,4.22,2.49,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534765.15,0,32.36,8.24,0.37,2.14,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534765.43,0,32.64,8.37,-0.98,2.02,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534765.68,0,32.89,8.23,-2.4,2.02,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534765.94,0,33.14,8.18,-2.39,2.2,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534766.7,0,33.9,8.18,-2.39,2.2,2.25,0.0,0.0,0.0,2.25,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534773.88,0,41.09,8.18,-2.39,2.2,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534774.66,0,41.87,8.18,-2.39,2.2,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534774.92,0,42.13,8.18,-2.39,2.2,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534775.17,0,42.38,8.18,-2.39,2.2,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534775.95,0,43.16,8.18,-2.39,2.2,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534777.48,0,44.69,7.88,-3.22,2.49,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534777.73,0,44.94,7.09,-4.76,2.9,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534803.5,1,10.71,6.86,-4.64,3.46,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534803.77,1,10.98,6.03,-3.31,5.41,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534804.03,1,11.24,5.93,-2.7,5.72,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534804.28,1,11.49,6.13,-1.39,5.77,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534804.53,1,11.74,6.12,-2.1,5.68,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534804.81,1,12.02,6.38,-3.87,4.73,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534805.06,1,12.27,6.27,-4.56,4.43,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534811.41,1,18.62,4.31,-3.43,2.92,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534812.18,1,19.38,4.83,-2.62,2.87,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534812.41,1,19.62,5.02,-2.29,2.86,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534812.68,1,19.89,4.28,-1.86,2.29,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534813.19,1,20.39,4.31,-1.88,2.23,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534813.44,1,20.65,4.5,-1.92,1.92,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534813.7,1,20.91,4.47,-2.31,1.57,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534813.96,1,21.17,4.36,-2.47,1.57,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534814.21,1,21.42,4.34,-2.5,1.57,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534818.27,1,25.48,4.34,-2.5,1.57,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534818.77,1,25.98,4.34,-2.5,1.57,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534819.03,1,26.24,4.34,-2.5,1.57,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534820.07,1,27.28,4.34,-2.5,1.57,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,,,b3cef250,1777534820.33,1,27.54,4.34,-2.5,1.57,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
